    название            паттерн          цена бафф              цена стим                          продажи                                  куплено             продано

Charm | Disco MAC           95      2,1             200     + за 1/4 дня
Charm | Disco MAC           95      10,3            170     + за день
Charm | Disco MAC           95      27              170     + за 2 дня
Charm | Disco MAC           95      10,2            170     + за 2 дня
Charm | Disco MAC           95      10              170     + за день
Charm | Hot Sauce           49      6,9             90      + за 3 дня
Charm | Titeenium AWP       585     95              1200
Charm | Titeenium AWP       585     91              975     + за 1/2 дня
Charm | Titeenium AWP       585     88              950     + за день
Charm | Titeenium AWP       585     82              950     + за 3 дня
Charm | Titeenium AWP       585     87              950     + за 3 дня
Charm | Titeenium AWP       585     93              1000    + за 2 дня
Charm | Disco MAC           95      3,9             190     + за день
Charm | Disco MAC           95      14              170     + за день
Charm | Disco MAC           95      27              170     +
Charm | Disco MAC           95      10              175     + за день

Desert Eagle | Heat Treated (Well-Worn)             898(<T3)    75          550     за день
Desert Eagle | Heat Treated (Field-Tested)          948(T2)     3000        5800    отлетел за пару часов        переставить все 3 после 19 числа
Desert Eagle | Heat Treated (Battle-Scarred)        998(T3?)    173         1000    за неделю

Charm | Lil' Monster        660     1,3             1000
Charm | Die-cast AK         553     17,7            1200    + за полдня
Charm | Glamour Shot        200     4,1             550     + за день
Charm | Lil' Whiskers       170     1               340     + за полдня, 400 не брали
Charm | Titeenium AWP       600     83              950     + за 2 дня

Charm | Die-cast AK         3000    21,3            6300    + за день, дороже не брали

Charm | Titeenium AWP       600     76              950     +

disco mac 160-170
Charm | Hot Wurst           1630    97              3100    + за 3 дня
Charm | Titeenium AWP       600     73              950     +
Charm | Titeenium AWP       600     81              900     + за день
Charm | Titeenium AWP       600     3               1200    +
Charm | Lil' Sandy          125     2               350     + за неделю     
Charm | Lil' Whiskers       145     45              255     +
Charm | Lil' Whiskers       145     25              240     +
Charm | Lil' SAS            50      1,8             450     + за день, дороже не брали
Charm | Die-cast AK         600     10,5            1650    
Charm | Baby Karat CT       1800    90              2750    + за день

Charm | Baby Karat CT       1770    90              2900    + за 3 дня
Charm | Titeenium AWP       600     2,7             1090    +

Charm | Die-cast AK         600     13              1050    +
Charm | Lil' Sandy          100     98              270     +

Charm | Baby Karat T        3200    93              4900    + за неделю
Charm | Baby Karat CT       1700    94              3100    + за день
Charm | Lil' Sandy          125     1,5             450     +
Charm | Lil' Monster        650     95              1000    + за 4 дня
Charm | Lil' Monster        630     97              1100    + за день
Charm | Semi-Precious       2331    2,8             4200    + за день
Charm | Die-cast AK         530     16              1000    + за день

Charm | Lil' Monster        630     96              1050    + за 4 дня
Charm | Lil' Monster        630     97              1050    + за день 
Charm | Die-cast AK         580     18              1050    + за 2 дня 
Charm | Hot Sauce                   2,5             85      + быстро
Charm | Hot Sauce                   1,8             90      + быстро

Charm | Baby Karat CT       1800    84              2600    + за 10 дней
Charm | Baby Karat CT       1800    86              2600    + за 10 дней
Charm | Lil' Sandy                  1,6             350     + за неделю
Charm | Lil' Sandy                  98              160     + за день
Charm | Die-cast AK                 14,9            1030    + за полдня
Charm | Die-cast AK                 17              1030    + за 2 дня 
Charm | Die-cast AK                 10,4            1080    + за полдня
Charm | Die-cast AK                 6,4             1100    + за полдня
Charm | Die-cast AK                 2,8             1600    + за 2 дня   

Charm | Lil' SAS                    0,196           1050    
Charm | Lil' SAS                    0,594           550     + за день
Charm | Lil' SAS                    0,97            500     + за день
Charm | Glamour Shot                1               500     + за день

Charm | Die-cast AK                 13,9            1040    + за 2 дня 
Charm | Hot Howl            4200    4,6             7400    + за неделю
Charm | Hot Howl            4500    4,3             7500    + за 2 дня

Charm | Die-cast AK                 9,7             1020    + за 2 дня 
Charm | Titeenium AWP               85              1100    +
Charm | Hot Wurst                   96              2750    + за 3 дня

Desert Eagle | Heat Treated (Battle-Scarred)    150     T3 (651)    2700       + за 2 дня 

Charm | Titeenium AWP       900     95              1400



hot sauce                   60-65-75-80        5-10к 1-5к 0-1к
disco mac                   200-160-160
whiskers                    140
Charm | Pinch O' Salt       95-100
die-cast                    950
Charm | Lil' Sandy          150-200-225-250             95k-97k-98k-99k

AK-47 | Searing Rage (Field-Tested)     550

0,9 1100  580
0,5 630 650 900
0,220   874 1500
